Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
4.09029e-08,4.15145e-08,4.15115e-08,1.22163e-07,1.22163e-07,1.53836e-07,1.5383e-07,1.63938e-07,
-0.000444973,-0.000444974,0.000473355,0.000473452,-0.000230219,-0.000230193,0.000219713,0.000219726,
-0.000368775,-0.000368777,-0.000344278,-0.000344188,-0.000173982,-0.000173962,0.000917368,0.000917384,
-0.000744952,-0.000744951,-0.00170635,-0.00170627,-0.00103632,-0.00103631,-0.000164797,-0.00016479,
3.39299e-05,3.39294e-05,-0.00058497,-0.000584844,0.000281733,0.000281767,0.00197858,0.00197861,
-0.000176663,-0.000176663,-0.00157564,-0.00157553,0.000126164,0.000126192,0.00233545,0.00233548,
-4.07429e-05,-4.07427e-05,-0.000786859,-0.000786718,0.000242123,0.00024215,0.00311891,0.00311894,
0.000558218,0.000558216,0.00075399,0.000754175,0.00210017,0.00210023,0.00442661,0.00442663,
0.00143168,0.00143168,0.000962584,0.000962776,0.00206786,0.00206792,0.00371521,0.00371523,
0.000906032,0.000906026,0.000413504,0.000413689,0.00112827,0.00112833,0.00371877,0.00371878,
0.00155165,0.00155164,0.00198513,0.00198538,0.00296398,0.00296405,0.00453817,0.00453818,
0.00122933,0.00122933,0.000820404,0.000820633,0.00256089,0.00256094,0.00448237,0.00448237,
0.00149332,0.00149332,0.0016662,0.00166649,0.00419435,0.00419441,0.00662597,0.00662591,
0.000939337,0.000939331,0.000120837,0.000121097,0.00244569,0.00244576,0.00386008,0.00386006,
0.00130074,0.00130073,0.00127882,0.00127919,0.00451831,0.0045184,0.00582767,0.0058276,
0.000744437,0.000744434,0.00104414,0.00104451,0.00409887,0.00409895,0.00614176,0.00614167,
0.00160083,0.00160083,0.00261952,0.00261999,0.00465214,0.00465223,0.00642711,0.00642702,
0.00149728,0.00149728,0.00189737,0.00189781,0.00478552,0.0047856,0.00594089,0.00594082,
0.00238419,0.00238419,0.00269011,0.0026906,0.00523464,0.00523476,0.0066913,0.0066912,
0.00230624,0.00230623,0.00324967,0.00325021,0.00579124,0.00579134,0.00808036,0.0080802,
0.00151715,0.00151714,0.00201179,0.00201228,0.00416702,0.00416711,0.00575101,0.00575095,
0.000740505,0.000740491,0.00060448,0.000604909,0.00179499,0.00179504,0.00423337,0.00423333,
0.000729709,0.000729694,0.0010319,0.00103242,0.0025337,0.00253373,0.00409411,0.00409409,
0.000468408,0.000468392,0.000155234,0.000155732,0.00131628,0.00131629,0.00290512,0.00290509,
0.000864936,0.000864921,-0.000292081,-0.000291565,0.00100006,0.00100002,0.00328593,0.00328591,
0.00130542,0.00130541,0.000685715,0.000686328,0.00247321,0.0024732,0.00431145,0.00431143,
0.000844833,0.000844818,4.9633e-05,5.01909e-05,0.000874202,0.000874173,0.00330782,0.00330779,
0.00135787,0.00135786,0.00106553,0.00106618,0.00201607,0.00201608,0.00340996,0.00340993,
0.00227901,0.002279,0.0011746,0.00117526,0.0022394,0.00223944,0.00318692,0.00318689,
0.0017106,0.00171059,0.000851102,0.000851734,0.00137589,0.00137594,0.00163489,0.00163484,
0.00197272,0.0019727,0.00189509,0.00189584,0.00197305,0.00197308,0.00307634,0.00307631,
0.00210339,0.00210337,0.00300078,0.0030016,0.00348745,0.00348754,0.00361404,0.003614,
0.0012316,0.00123158,0.00173535,0.00173609,0.00170294,0.00170296,0.0021788,0.00217878,
0.000790606,0.000790589,0.00216094,0.00216172,0.00236258,0.00236262,0.00362467,0.00362466,
0.000359602,0.000359582,0.000720947,0.000721627,0.00153204,0.00153203,0.00178228,0.00178226,
0.00100189,0.00100188,0.00226121,0.00226204,0.00339464,0.00339473,0.0031771,0.00317705,
0.00126689,0.00126688,0.00152527,0.00152607,0.00189756,0.00189757,0.000914242,0.000914214,
0.00218721,0.00218721,0.00300689,0.00300787,0.00298867,0.00298869,0.00113337,0.00113336,
0.00240672,0.00240671,0.00359191,0.00359299,0.00388202,0.00388205,0.00233521,0.00233522,
0.00197408,0.00197407,0.00250628,0.00250727,0.00370738,0.00370741,0.00204894,0.00204893,
0.00158825,0.00158824,0.0014276,0.00142848,0.00256064,0.00256065,0.000954377,0.000954347,
0.00163325,0.00163324,0.00172973,0.00173067,0.00380765,0.00380767,0.00237195,0.00237197,
0.0012057,0.00120569,0.00187213,0.0018731,0.00377659,0.00377663,0.00225044,0.00225044,
0.00125185,0.00125184,0.00103316,0.00103402,0.00309582,0.00309589,0.00207309,0.00207307,
0.00217881,0.00217881,0.00203941,0.00204044,0.00439725,0.00439732,0.00335502,0.00335505,
0.00251736,0.00251736,0.00290216,0.00290337,0.00586237,0.00586239,0.00580648,0.00580656,
0.00169387,0.00169386,0.0025147,0.00251589,0.00532808,0.0053281,0.00454085,0.00454097,
0.00196008,0.00196007,0.00275259,0.00275385,0.00646247,0.00646249,0.00497113,0.00497126,
0.00285712,0.00285712,0.00347628,0.00347769,0.0074036,0.00740359,0.00509393,0.00509407,
0.00310552,0.00310551,0.00413429,0.00413582,0.00766888,0.00766885,0.00633655,0.00633671,
0.00215714,0.00215713,0.00345549,0.00345692,0.00678802,0.00678804,0.00492007,0.0049202,
0.00174228,0.00174227,0.00301238,0.00301378,0.00724382,0.00724386,0.00589103,0.00589113,
0.00112457,0.00112456,0.00201878,0.00202012,0.00713043,0.00713037,0.00690598,0.00690623,
0.000783365,0.000783351,-0.000460745,-0.000459809,0.00116054,0.00116052,-0.00134237,-0.00134238,
0.00162211,0.0016221,0.000571236,0.000572402,0.00520576,0.00520578,0.00344401,0.00344422,
0.00241728,0.00241727,0.0019542,0.00195558,0.00442644,0.00442646,0.00324714,0.00324735,
0.00270121,0.0027012,0.00118019,0.00118143,0.00306579,0.00306581,2.6576e-05,2.6654e-05,
0.00246009,0.00246009,-5.91367e-05,-5.80402e-05,0.00357488,0.00357486,0.00171857,0.00171877,
0.00276413,0.00276413,0.00263726,0.00263879,0.0078698,0.00786984,0.00638225,0.00638244,
0.00181184,0.00181183,0.00143914,0.00144051,0.00492721,0.00492723,-0.000173717,-0.000173672,
0.00116858,0.00116857,0.0018715,0.00187298,0.00833919,0.00833912,0.00608489,0.00608534,
0.001674,0.00167399,0.00078501,0.00078634,0.00605214,0.00605206,0.00257533,0.00257572,
0.00242096,0.00242096,0.00237702,0.00237866,0.0101936,0.0101934,0.00983938,0.00983993,
0.00280763,0.00280763,0.00150555,0.00150702,0.00602913,0.00602901,0.00180077,0.00180113,
0.00243134,0.00243134,0.0016241,0.00162564,0.00765893,0.00765879,0.00623162,0.00623227,
0.00238692,0.00238692,4.98547e-05,5.10907e-05,0.00478497,0.00478481,0.00195227,0.00195266,
0.00267091,0.00267091,0.000552042,0.000553427,0.00683367,0.00683355,0.0049093,0.00490993,
0.00339756,0.00339757,0.00106159,0.00106304,0.00483557,0.00483543,0.0032641,0.00326464,
0.00410835,0.00410837,0.00356573,0.00356756,0.00849043,0.00849038,0.00652113,0.00652163,
0.00452151,0.00452151,0.00459468,0.00459663,0.010452,0.010452,0.0101103,0.0101106,
0.00491346,0.00491347,0.00489951,0.00490149,0.0113121,0.011312,0.0109488,0.0109491,
0.00493737,0.00493737,0.00493694,0.00493894,0.0101071,0.010107,0.0068415,0.00684173,
0.00440826,0.00440827,0.00464373,0.00464572,0.0102673,0.0102672,0.00856418,0.00856461,
0.0036159,0.00361594,0.00353986,0.00354169,0.0081372,0.00813716,0.00650625,0.00650648,
0.00440042,0.00440045,0.00405572,0.00405765,0.00694633,0.00694627,0.0041908,0.00419103,
0.00401709,0.00401713,0.00421259,0.00421458,0.00937115,0.00937108,0.00964354,0.00964409,
0.00355847,0.00355851,0.00276496,0.00276672,0.00524631,0.00524619,0.00232093,0.00232117,
0.00269064,0.00269067,0.0018627,0.0018643,0.00496166,0.00496154,0.0027841,0.00278445,
