Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
0.536427,0.42401,0.413416,0.344507,0.3346,0.282505,0.273714,0.231303,
0.529285,0.419032,0.404148,0.335216,0.323052,0.267938,0.257922,0.213351,
0.517419,0.410453,0.391657,0.323739,0.309753,0.25291,0.244713,0.197275,
0.510179,0.407794,0.387801,0.326072,0.307073,0.259891,0.243631,0.204176,
0.494908,0.391843,0.369218,0.302435,0.286159,0.227755,0.220786,0.170891,
0.490156,0.389073,0.36994,0.309155,0.289887,0.244436,0.22576,0.188754,
0.474783,0.371024,0.35143,0.281837,0.269663,0.206445,0.206351,0.1532,
0.462295,0.359018,0.338242,0.269381,0.256888,0.19564,0.190954,0.140982,
0.444323,0.344689,0.316522,0.248831,0.232638,0.169104,0.165722,0.111515,
0.424667,0.329376,0.291326,0.22733,0.203243,0.143143,0.132816,0.0807279,
0.407747,0.310585,0.27188,0.205263,0.18105,0.117784,0.10765,0.0536997,
0.397006,0.305173,0.263009,0.204449,0.172454,0.122738,0.0975463,0.0556414,
0.384496,0.288828,0.250296,0.184949,0.161407,0.100898,0.0876577,0.0372882,
0.366643,0.273,0.229328,0.162938,0.139947,0.0740325,0.0686284,0.011915,
0.365698,0.273449,0.236914,0.17864,0.151927,0.105525,0.0792001,0.0420839,
0.348975,0.254173,0.218934,0.149072,0.1365,0.0641503,0.0723692,0.0108774,
0.334667,0.237364,0.20313,0.129495,0.1203,0.0427421,0.0562365,-0.00911623,
0.329417,0.238527,0.202808,0.140523,0.120269,0.0644551,0.0492347,0.00666037,
0.326619,0.241764,0.208766,0.155659,0.132812,0.091307,0.0668805,0.0326301,
0.324031,0.236549,0.215074,0.160378,0.145001,0.103976,0.0825305,0.0498081,
0.32023,0.230534,0.218054,0.159744,0.154065,0.108043,0.0956919,0.0603633,
0.31308,0.223391,0.214703,0.153509,0.154388,0.101979,0.0990254,0.0599481,
0.300585,0.211131,0.398565,0.322822,0.766357,0.610106,-nan,-nan,
0.28884,0.203464,0.206278,0.151115,0.152834,0.0820899,0.0649181,-nan,
0.275814,0.183275,0.193985,0.12148,0.132886,0.0239893,-nan,-nan,
0.260066,0.163658,0.178975,0.109817,0.128998,0.0399395,0.0425213,-nan,
0.243917,0.14766,0.163983,0.0856923,-nan,-nan,-nan,-nan,
0.231956,0.137707,0.146812,0.0718679,0.124169,-nan,-nan,-nan,
0.219317,0.120186,0.1272,0.048794,0.0572006,-nan,-nan,-nan,
0.20446,0.103985,0.109447,0.0351146,0.0391983,-nan,-nan,-nan,
0.192235,0.0949424,0.106914,0.0360978,0.0524412,-nan,-nan,-nan,
0.179816,0.0791104,0.11396,0.00863657,-nan,-nan,-nan,-nan,
0.165932,0.0706518,0.0770435,0.0122278,0.0162917,-nan,-nan,-nan,
0.153438,0.0478014,0.0873186,0.00156959,-nan,-nan,-nan,-nan,
0.138468,0.0405429,0.0504647,-0.0198885,-0.0227553,-nan,-nan,-nan,
0.128503,0.0163085,0.0424711,-0.0268321,-0.0170286,-nan,-nan,-nan,
0.109006,0.00818592,0.0228492,-0.0410111,-0.0356908,-nan,-nan,-nan,
0.102755,-0.0145989,-nan,-nan,-nan,-nan,-nan,-nan,
0.079268,-0.029051,-0.0101458,-nan,-nan,-nan,-nan,-nan,
0.0678258,-0.0450754,-nan,-nan,-nan,-nan,-nan,-nan,
0.0494622,-0.054594,-0.0397525,-nan,-nan,-nan,-nan,-nan,
0.0323924,-0.0674379,-0.0565591,-nan,-nan,-nan,-nan,-nan,
0.0188975,-0.0837142,-0.063785,-nan,-nan,-nan,-nan,-nan,
0.0049953,-0.100157,-0.0803657,-nan,-nan,-nan,-nan,-nan,
-0.0111127,-0.112898,-0.0811467,-nan,-nan,-nan,-nan,-nan,
-0.0224789,-0.12805,-0.0830276,-nan,-nan,-nan,-nan,-nan,
-0.0392116,-0.143242,-0.111491,-nan,-nan,-nan,-nan,-nan,
-0.0455854,-0.157869,-0.114893,-nan,-nan,-nan,-nan,-nan,
-0.0675716,-0.174725,-0.129706,-nan,-nan,-nan,-nan,-nan,
-0.0932425,-0.194202,-0.175573,-nan,-nan,-nan,-nan,-nan,
-0.106104,-0.209953,-0.185969,-nan,-nan,-nan,-nan,-nan,
-0.128318,-0.226623,-0.207537,-nan,-nan,-nan,-nan,-nan,
-0.150057,-0.242058,-0.239237,-nan,-nan,-nan,-nan,-nan,
-0.169756,-0.259811,-0.244023,-nan,-nan,-nan,-nan,-nan,
-0.185735,-0.273174,-0.273807,-nan,-nan,-nan,-nan,-nan,
